Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_0_167,VGND,li1,82.5700,10.8800,0.000000
FILLER_0_163,VGND,li1,81.4200,10.8800,0.000000
FILLER_0_151,VGND,li1,75.9000,10.8800,0.000000
FILLER_0_141,VGND,li1,71.3000,10.8800,0.000000
FILLER_0_137,VGND,li1,69.2300,10.8800,0.000000
FILLER_0_125,VGND,li1,65.7800,10.8800,0.000000
FILLER_0_113,VGND,li1,60.2600,10.8800,0.000000
FILLER_0_109,VGND,li1,56.3500,10.8800,0.000000
FILLER_0_97,VGND,li1,52.9000,10.8800,0.000000
FILLER_0_85,VGND,li1,47.3800,10.8800,0.000000
FILLER_0_81,VGND,li1,43.4700,10.8800,0.000000
FILLER_0_69,VGND,li1,40.0200,10.8800,0.000000
FILLER_0_57,VGND,li1,34.5000,10.8800,0.000000
FILLER_0_53,VGND,li1,30.5900,10.8800,0.000000
FILLER_0_41,VGND,li1,27.1400,10.8800,0.000000
FILLER_0_29,VGND,li1,21.6200,10.8800,0.000000
FILLER_0_27,VGND,li1,18.1700,10.8800,0.000000
FILLER_0_15,VGND,li1,15.1800,10.8800,0.000000
FILLER_0_3,VGND,li1,9.6600,10.8800,0.000000
hold88,VGND,li1,63.4800,32.6400,0.000151
hold87,VGND,li1,49.6800,27.2000,0.000040
hold86,VGND,li1,60.2600,59.8400,0.000102
hold85,VGND,li1,46.4600,21.7600,0.000042
hold84,VGND,li1,67.1600,87.0400,0.000073
hold83,VGND,li1,71.3000,87.0400,0.000073
hold82,VGND,li1,54.2800,32.6400,0.000142
hold81,VGND,li1,35.8800,81.6000,0.000053
hold80,VGND,li1,38.1800,27.2000,0.000029
hold79,VGND,li1,34.5000,27.2000,0.000025
hold78,VGND,li1,55.2000,43.5200,0.000412
hold77,VGND,li1,63.0200,65.2800,0.000179
hold76,VGND,li1,34.5000,32.6400,0.000095
hold75,VGND,li1,41.8600,27.2000,0.000033
hold74,VGND,li1,74.0600,70.7200,0.000626
hold73,VGND,li1,76.3600,76.1600,0.000292
hold72,VGND,li1,60.7200,48.9600,0.000178
hold71,VGND,li1,63.9400,54.4000,0.000363
hold70,VGND,li1,51.5200,43.5200,0.000377
hold69,VGND,li1,47.8400,43.5200,0.000327
hold68,VGND,li1,73.6000,43.5200,0.000533
hold67,VGND,li1,68.0800,92.4800,0.000097
hold66,VGND,li1,11.0400,27.2000,0.000017
hold65,VGND,li1,65.7800,87.0400,0.000073
hold64,VGND,li1,46.4600,54.4000,0.000303
hold63,VGND,li1,53.8200,87.0400,0.000072
hold62,VGND,li1,33.5800,76.1600,0.000179
hold61,VGND,li1,45.5400,48.9600,0.000130
hold60,VGND,li1,79.5800,38.0800,0.000600
hold59,VGND,li1,72.6800,32.6400,0.000162
hold58,VGND,li1,21.6200,92.4800,0.000035
hold57,VGND,li1,84.6400,43.5200,0.000563
hold56,VGND,li1,68.0800,43.5200,0.000515
hold55,VGND,li1,42.3200,43.5200,0.000287
hold54,VGND,li1,28.9800,65.2800,0.000078
hold53,VGND,li1,16.5600,70.7200,0.000180
hold52,VGND,li1,46.9200,92.4800,0.000073
hold51,VGND,li1,23.4600,76.1600,0.000097
hold50,VGND,li1,38.6400,48.9600,0.000108
hold49,VGND,li1,70.8400,81.6000,0.000081
hold48,VGND,li1,67.1600,81.6000,0.000081
hold47,VGND,li1,18.4000,65.2800,0.000065
hold46,VGND,li1,38.6400,59.8400,0.000069
hold45,VGND,li1,33.5800,92.4800,0.000051
hold44,VGND,li1,42.3200,48.9600,0.000122
hold43,VGND,li1,87.4000,54.4000,0.000374
hold42,VGND,li1,80.0400,21.7600,0.000061
hold41,VGND,li1,29.9000,38.0800,0.000261
hold40,VGND,li1,40.9400,87.0400,0.000058
hold39,VGND,li1,80.9600,54.4000,0.000374
hold38,VGND,li1,29.4400,59.8400,0.000048
hold37,VGND,li1,87.4000,70.7200,0.000626
hold36,VGND,li1,80.0400,32.6400,0.000171
hold35,VGND,li1,76.3600,32.6400,0.000168
hold34,VGND,li1,85.1000,16.3200,0.000108
hold33,VGND,li1,32.6600,16.3200,0.000037
hold32,VGND,li1,46.9200,21.7600,0.000042
hold31,VGND,li1,77.2800,27.2000,0.000057
hold30,VGND,li1,80.9600,27.2000,0.000060
hold29,VGND,li1,78.2000,65.2800,0.000198
hold28,VGND,li1,80.0400,59.8400,0.000114
hold27,VGND,li1,85.1000,54.4000,0.000374
hold26,VGND,li1,87.4000,16.3200,0.000108
hold25,VGND,li1,21.6200,81.6000,0.000028
hold24,VGND,li1,28.0600,87.0400,0.000035
hold23,VGND,li1,80.9600,59.8400,0.000114
hold22,VGND,li1,59.8000,87.0400,0.000072
hold21,VGND,li1,60.2600,81.6000,0.000077
hold20,VGND,li1,64.8600,65.2800,0.000182
hold19,VGND,li1,49.2200,70.7200,0.000468
hold18,VGND,li1,46.4600,76.1600,0.000252
hold17,VGND,li1,59.3400,48.9600,0.000178
hold16,VGND,li1,36.3400,70.7200,0.000316
hold15,VGND,li1,42.3200,70.7200,0.000393
hold14,VGND,li1,46.4600,81.6000,0.000069
hold13,VGND,li1,50.1400,76.1600,0.000263
